vocab_id,romaji,indonesian_meaning,level
"秋","Aki","musim gugur","N5"
"朝","Asa","pagi","N5"
"傘","Kasa","payung","N5"
"学生","Gakusei","pelajar","N5"
"映画","Eiga","film","N5"
"駅","Eki","stasiun","N5"
"鉛筆","Enpitsu","pensil","N5"
"お金","Okane","uang","N5"
"会社","Kaisha","perusahaan","N5"
"学校","Gakkou","sekolahan","N5"
"明日","ashita/asu","besok","N5"
"今日","Kyou","hari ini","N5"
"昨日","Kinou","kemarin","N5"
"今年","Kotoshi","tahun ini","N5"
"朝ご飯","Asagohan","sarapan pagi","N5"
"お菓子","Okashi","permen/snack","N5"
"お酒","Osake","arak","N5"
"お茶","Ocha","the","N5"
"牛肉","Gyuuniku","daging sapi","N5"
"兄 / お兄さん","ani/onii-san","kakak laki-laki","N5"
"姉 / お姉さん","ane/onee-san","kakak perempuan","N5"
"母 / お母さん","haha/okaa-san","ibu","N5"
"大人","Otona","dewasa","N5"
"男","Otoko","laki-laki","N5"
"女","Onna","perempuan","N5"
"アパート","Apaato","apartement","N5"
"家","ie/uchi","rumah","N5"
"映画館","Eigakan","bioskop","N5"
"銀行","Ginkou","bank","N5"
"雨","Ame","hujan","N5"
"池","Ike","kolam","N5"
"海","Umi","laut","N5"
"風","Kaze","angin","N5"
"足","Ashi","kaki","N5"
"頭","Atama","kepala","N5"
"顔","Kao","wajah","N5"
"体","Karada","tubuh","N5"
"時間","Jikan","waktu","N5"
"先生","Sensei","guru","N5"
"大学","Daigaku","universitas","N5"
"手","Te","tangan","N5"
"電車","Densha","kereta","N5"
"電話","Denwa","telepon","N5"
"一","Ichi","satu","N5"
"一日","ichinichi/tsuitachi","tanggal 1/satu hari","N5"
"今","Ima","sekarang","N5"
"円","En","yen","N5"
"木","Ki","pohon","N5"
"九","Kyuu","sembilan","N5"
"国","Kuni","negara","N5"
"車","Kuruma","mobil","N5"
"魚","Sakana","ikan","N5"
"三","San","tiga","N5"
"四","shi/yon","empat","N5"
"十","Juu","sepuluh","N5"
"好き","Suki","Suka","N5"
"有名","yuumei","Terkenal","N5"
"きれい","Kirei","indah/bersih","N5"
"静か","shizuka","hening","N5"
"便利","benri","praktis","N5"
"元気","genki","sehat","N5"
"大丈夫","daijoubu","baik-baik saja","N5"
"青い","aoi","biru","N5"
"赤い","akai","merah","N5"
"新しい","atarashii","baru","N5"
"暑い","atsui","panas","N5"
"良い","yoi/ii","bagus","N5"
"忙しい","isogashii","sibuk","N5"
"美味しい","oishii","enak","N5"
"大きい","ookii","besar","N5"
"小さい","chiisai","kecil","N5"
"高い","takai","tinggi/mahal","N5"
"古い","furui","kuno","N5"
"安い","yasui","murah","N5"
"会う","au","bertemu","N5"
"開く","aku","terbuka","N5"
"遊ぶ","asobu","bermain","N5"
"洗う","arau","mencuci","N5"
"歩く","aruku","berjalan","N5"
"行く","iku","pergi","N5"
"食べる","taberu","makan","N5"
"飲む","nomu","minum","N5"
"見る","miru","melihat","N5"
"聞く","kiku","mendengar/bertanya","N5"
"書く","kaku","menulis","N5"
"待つ","matsu","menunggu","N5"
"買う","kau","membeli","N5"
"働く","hataraku","bekerja","N5"
"休む","yasumu","beristirahat","N5"
"来る","kuru","datang","N5"
"読む","yomu","membaca","N5"
"話す","hanasu","berbicara","N5"
