grammar_id,sentence_id
でも,S001
でも,S002
でも,S003
どんな,S004
どんな,S005
どんな,S006
どんな,S007
どうして,S008
どうやって,S009
どうやって,S010
どうやって,S011
どうやって,S012
がほしい,S013
がほしい,S014
がほしい,S015
⽅がいい,S016
⼀番 「いちばん」,S017
⼀番 「いちばん」,S018
⼀番 「いちばん」,S019
⼀緒に「いっしょに」,S020
いつも,S021
いつも,S022
いつも,S023
か,S024
か〜か,S025
⽅ [かた],S026
けど,S027
けど,S028
けど,S029
けれども,S030
けれども,S031
まだ〜ていません,S032
まだ〜ていません,S033
まだ〜ていません,S034
まだ〜ていません,S035
まで,S036
まで,S037
まで,S038
前に 【まえに】,S039
前に 【まえに】,S040
前に 【まえに】,S041
ませんか,S042
ませんか,S043
ましょう,S044
ましょう,S045
ましょう,S046
ましょう,S047
ましょうか,S048
ましょうか,S049
ましょうか,S050
ましょうか,S051
も,S052
も,S053
なあ,S054
なあ,S055
ないで,S056
ないで,S057
ないで,S058
ないで,S059
なくてもいい,S060
なくてもいい,S061
なくてもいい,S062
なくてもいい,S063
なくてはいけない,S064
なくてはいけない,S065
なくてはならない,S066
なくてはならない,S067
になる・くなる,S068
ね,S069
ね,S070
ね,S071
に⾏く 【にいく】,S072
に⾏く 【にいく】,S073
にする,S074
にする,S075
にする,S076
の,S077
の,S078
の,S079
のが下⼿ 【のがへた】,S080
のが下⼿ 【のがへた】,S081
のが上⼿,S082
のが好き 【のがすきです】,S083
のが好き 【のがすきです】,S084
のが好き 【のがすきです】,S085
の中で[A]が⼀番 【のなかで[A]がいちばん】,S086
の中で[A]が⼀番 【のなかで[A]がいちばん】,S087
の中で[A]が⼀番 【のなかで[A]がいちばん】,S088
の中で[A]が⼀番 【のなかで[A]がいちばん】,S089
を,S090
を,S091
をください,S092
をください,S093
をください,S094
をください,S095
しかし,S096
しかし,S097
しかし,S098
たことがある,S099
たことがある,S100
たことがある,S101
たことがある,S102
たり〜たり,S103
たり〜たり,S104
てから,S105
てから,S106
てから,S107
てから,S108
てください,S109
てください,S110
てください,S111
てください,S112
てはいけない,S113
てはいけない,S114
てはいけない,S115
てもいい,S116
てもいい,S117
てもいい,S118
と,S119
と,S120
時 【とき】,S121
時 【とき】,S122
とても,S123
とても,S124
とても,S125
とても,S126
つもり,S127
つもり,S128
は,S129
は,S130
は,S131
は〜より・・・です,S132
は〜より・・・です,S133
は〜より・・・です,S134
は〜より・・・です,S135
はどうですか,S136
はどうですか,S137
はどうですか,S138
はどうですか,S139
や,S140
や,S141
や,S142
や,S143
よ,S144
より〜ほうが,S145
より〜ほうが,S146
より〜ほうが,S147
より〜ほうが,S148
