sentence_id,vocab_id
S001,好き
S003,好き
S004,国
S006,好き
S009,駅
S012,学校
S018,秋
S018,好き
S021,元気
S029,好き
S031,家
S031,暑い
S034,朝
S035,今
S035,新しい
S038,駅
S042,今
S043,映画
S045,駅
S046,時間
S047,きれい
S053,好き
S055,美味しい
S059,朝
S059,今
S060,学校
S062,好き
S071,今
S072,家
S076,お茶
S083,好き
S084,好き
S084,読む
S085,好き
S086,家
S088,好き
S089,頭
S095,時間
S097,好き
S097,暑い
S098,今
S104,映画
S106,家
S108,今
S112,静か
S123,今
S123,暑い
S127,今
S131,今
S132,映画
S133,今
S133,忙しい
S140,朝
S143,好き
S145,好き
S146,今
S146,暑い
S147,きれい
S148,読む
S148,話す
S149,安全
S150,右
S151,円
S152,火曜日
S153,花
S154,九時
S155,古い
S156,五つ
S157,後
S158,午前
S159,入り口
S160,左
S161,三つ
S162,四つ
S163,子ども
S164,耳
S165,七時
S166,会社
S167,十
S168,図書館
S169,小学生
S170,西
S171,川
S172,千円
S173,寝不足
S174,多い
S175,男
S176,長い
S177,お店
S178,土曜日
S179,東京
S180,南
S181,今年
S182,八時
S183,十一時半
S184,百人
S185,北海道
S186,木
S187,五万円
S188,目
S189,立って
S190,六時
S003,一
S056,飲む
S025,雨
S080,下
S002,何
S045,会社
S031,外
S036,休む
S001,魚
S013,お金
S061,空
S124,月
S043,見る
S111,言
S020,語
S002,銀行
S030,高い
S087,山
S122,車
S029,手
S035,週
S057,出
S014,女
S095,少
S029,上
S006,食べる
S054,大人
S092,水
S121,先生
S039,午前
S068,大人
S031,中
S071,天
S058,電車
S122,北海道
S094,二
S012,明日
S056,入り口
S002,買う
S130,白
S086,父
S025,分
S101,聞く
S081,母 / お母さん
S020,本
S012,毎
S077,有名
S072,友
S008,来る
