vocab_id,kana_id,relationship_type
"秋","あ","SPELLED_WITH"
"秋","き","SPELLED_WITH"
"朝","あ","SPELLED_WITH"
"朝","さ","SPELLED_WITH"
"傘","か","SPELLED_WITH"
"傘","さ","SPELLED_WITH"
"学生","が","SPELLED_WITH"
"学生","く","SPELLED_WITH"
"学生","せ","SPELLED_WITH"
"学生","い","SPELLED_WITH"
"映画","え","SPELLED_WITH"
"映画","い","SPELLED_WITH"
"映画","が","SPELLED_WITH"
"駅","え","SPELLED_WITH"
"駅","き","SPELLED_WITH"
"お金","お","SPELLED_WITH"
"お金","か","SPELLED_WITH"
"お金","ね","SPELLED_WITH"
"会社","か","SPELLED_WITH"
"会社","い","SPELLED_WITH"
"会社","し","SPELLED_WITH"
"会社","ゃ","SPELLED_WITH"
"明日","あ","SPELLED_WITH"
"明日","し","SPELLED_WITH"
"明日","た","SPELLED_WITH"
"大きい","お","SPELLED_WITH"
"大きい","き","SPELLED_WITH"
"大きい","い","SPELLED_WITH"
"小さい","ち","SPELLED_WITH"
"小さい","い","SPELLED_WITH"
"小さい","さ","SPELLED_WITH"
"飲む","の","SPELLED_WITH"
"飲む","む","SPELLED_WITH"
"食べる","た","SPELLED_WITH"
"食べる","べ","SPELLED_WITH"
"食べる","る","SPELLED_WITH"
"行く","い","SPELLED_WITH"
"行く","く","SPELLED_WITH"
