grammar_id,name,level
Akhiran です、 だ,Akhiran です、 だ,N5
Partikel subject は、も、 が,Partikel subject は、も、 が,N5
Partikel object を、に、へ、 で,Partikel object を、に、へ、 で,N5
Partikel と、や、と か,Partikel と、や、と か,N5
Partikel  の,Partikel  の,N5
"Memahami Kelompok Kata Kerja Bahasa Jepang (Godan, Ichidan, dan Fukisoku Doushi)","Memahami Kelompok Kata Kerja Bahasa Jepang (Godan, Ichidan, dan Fukisoku Doushi)",N5
"Memahami Konjugasi Kata Kerja, Kata Benda dan Kata Sifat (Positif, Negatif, Lampau, Negatif Lampau)","Memahami Konjugasi Kata Kerja, Kata Benda dan Kata Sifat (Positif, Negatif, Lampau, Negatif Lampau)",N5
Kata Kerja Bentuk Sopan (masu-kei),Kata Kerja Bentuk Sopan (masu-kei),N5
Tata bahasa ~がある dan ~がい る,Tata bahasa ~がある dan ~がい る,N5
Tata bahasa ~てください dan ~ないでくださ い,Tata bahasa ~てください dan ~ないでくださ い,N5
Tata bahasa ~ましょう、~ましょうか、~ません か,Tata bahasa ~ましょう、~ましょうか、~ません か,N5
Tata bahasa ~てもいい、~なくてもい い,Tata bahasa ~てもいい、~なくてもい い,N5
Tata bahasa ~てはいけない、~なくてはいけな い,Tata bahasa ~てはいけない、~なくてはいけな い,N5
Tata bahasa ~から、~の で,Tata bahasa ~ तला bahasa ~から、~の で,N5
Tata bahasa ~ている、~ていく、~てく る,Tata bahasa ~ている、~ていく、~てく る,N5
Tata bahasa ~のほうが　~よ り,Tata bahasa ~のほうが　~よ り,N5
Tata bahasa ~ほうがい い,Tata bahasa ~ほうがい い,N5
Tata bahasa ~の中で、~がいちば ん,Tata bahasa ~の中で、~がいちば ん,N5
Tata bahasa ~つもりで す,Tata bahasa ~つもりで す,N5
Mengubah kata adjective jadi adverb ~く／にな る,Mengubah kata adjective jadi adverb ~く／にな る,N5
Tata bahasa ~たいです、~たくないで す,Tata bahasa ~たいです、~たくないで す,N5
Tata bahasa ~たりす る,Tata bahasa ~たりす る,N5
Tata bahasa ~たことがある、~たことがな い,Tata bahasa ~たことがある、~たことがな い,N5
Akhiran だろう、でしょう、かもしれな い,Akhiran だろう、でしょう、かもしれな い,N5
Tata bahasa ~まえに、~てか ら,Tata bahasa ~まえに、~てか ら,N5
ちゃいけない,ちゃいけない,N5
だ,だ,N5
だけ,だけ,N5
だろう,だろう,N5
で,で,N5
でも,でも,N5
でしょう,でしょう,N5
どんな,どんな,N5
どうして,どうして,N5
どうやって,どうやって,N5
が,が,N5
があります,があります,N5
がほしい,がほしい / が欲しい,N5
がいます,がいます,N5
⽅がいい,⽅がいい /,N5
い-adjectives,い-adjectives,N5
⼀番 「いちばん」,⼀番 「いちばん」,N5
⼀緒に「いっしょに」,⼀緒に「いっしょに」,N5
いつも,いつも,N5
じゃない,じゃない,N5
か,か,N5
か〜か,か〜か,N5
から,から,N5
⽅ [かた],⽅ [かた],N5
けど,けど,N5
けれども,けれども,N5
まだ,まだ,N5
まだ〜ていません,まだ〜ていません,N5
まで,まで,N5
前に 【まえに】,前に 【まえに】,N5
ませんか,ませんか,N5
ましょう,ましょう,N5
ましょうか,ましょうか,N5
も,も,N5
もう,もう,N5
な-adjectives,な-adjectives,N5
なあ,なあ,N5
ないで,ないで,N5
ないでくだあい,ないでくだあい,N5
なくてもいい,なくてもいい,N5
なくちゃ,なくちゃ,N5
なくてはいけない,なくてはいけない,N5
なくてはならない,なくてはならない,N5
になる・くなる,になる・くなる,N5
んです,んです,N5
ね,ね,N5
に,に,N5
に⾏く 【にいく】,に⾏く 【にいく】,N5
にする,にする,N5
の,の,N5
のです,のです,N5
のが下⼿ 【のがへた】,のが下⼿ 【のがへた】,N5
のが上⼿,のが上⼿ / のがじょうずです,N5
のが好き 【のがすきです】,のが好き 【のがすきです】,N5
の中で[A]が⼀番 【のなかで[A]がいちばん】,の中で[A]が⼀番 【のなかで[A]がいちばん】,N5
ので,ので,N5
を,を,N5
をください,をください,N5
しかし,しかし,N5
すぎる,すぎる,N5
たことがある,たことがある,N5
たい,たい,N5
たり〜たり,たり〜たり,N5
てある,てある,N5
ている,ている,N5
てから,てから,N5
てください,てください,N5
てはいけない,てはいけない,N5
てもいい,てもいい,N5
と,と,N5
時 【とき】,時 【とき】,N5
とても,とても,N5
つもり,つもり,N5
は,は,N5
は〜より・・・です,は〜より・・・です,N5
はどうですか,はどうですか,N5
や,や,N5
よ,よ,N5
より〜ほうが,より〜ほうが,N5
