kana_id,character,type,romaji
"あ","あ","Hiragana","a"
"い","い","Hiragana","i"
"う","う","Hiragana","u"
"え","え","Hiragana","e"
"お","お","Hiragana","o"
"か","か","Hiragana","ka"
"き","き","Hiragana","ki"
"く","く","Hiragana","ku"
"け","け","Hiragana","ke"
"こ","こ","Hiragana","ko"
"さ","さ","Hiragana","sa"
"し","し","Hiragana","shi"
"す","す","Hiragana","su"
"せ","せ","Hiragana","se"
"そ","そ","Hiragana","so"
"た","た","Hiragana","ta"
"ち","ち","Hiragana","chi"
"つ","つ","Hiragana","tsu"
"て","て","Hiragana","te"
"と","と","Hiragana","to"
"な","な","Hiragana","na"
"に","に","Hiragana","ni"
"ぬ","ぬ","Hiragana","nu"
"ね","ね","Hiragana","ne"
"の","の","Hiragana","no"
"は","は","Hiragana","ha"
"ひ","ひ","Hiragana","hi"
"ふ","ふ","Hiragana","fu"
"へ","へ","Hiragana","he"
"ほ","ほ","Hiragana","ho"
"ま","ま","Hiragana","ma"
"み","み","Hiragana","mi"
"む","む","Hiragana","mu"
"め","め","Hiragana","me"
"も","も","Hiragana","mo"
"や","や","Hiragana","ya"
"ゆ","ゆ","Hiragana","yu"
"よ","よ","Hiragana","yo"
"ら","ら","Hiragana","ra"
"り","り","Hiragana","ri"
"る","る","Hiragana","ru"
"れ","れ","Hiragana","re"
"ろ","ろ","Hiragana","ro"
"わ","わ","Hiragana","wa"
"を","を","Hiragana","wo"
"ん","ん","Hiragana","n"
"が","が","Hiragana","ga"
"ぎ","ぎ","Hiragana","gi"
"ぐ","ぐ","Hiragana","gu"
"げ","げ","Hiragana","ge"
"ご","ご","Hiragana","go"
"ざ","ざ","Hiragana","za"
"じ","じ","Hiragana","ji"
"ず","ず","Hiragana","zu"
"ぜ","ぜ","Hiragana","ze"
"ぞ","ぞ","Hiragana","zo"
"だ","だ","Hiragana","da"
"ぢ","ぢ","Hiragana","ji"
"づ","づ","Hiragana","dzu"
"で","で","Hiragana","de"
"ど","ど","Hiragana","do"
"ば","ば","Hiragana","ba"
"び","び","Hiragana","bi"
"ぶ","ぶ","Hiragana","bu"
"べ","べ","Hiragana","be"
"ぼ","ぼ","Hiragana","bo"
"ぱ","ぱ","Hiragana","pa"
"ぴ","ぴ","Hiragana","pi"
"ぷ","ぷ","Hiragana","pu"
"ぺ","ぺ","Hiragana","pe"
"ぽ","ぽ","Hiragana","po"
