rule_id,description,rule_type
"Akhiran Dasar","Aturan untuk akhiran dasar kalimat nominal seperti です dan だ","Grammar Rule"
"Partikel Subjek","Aturan penggunaan penanda subjek kalimat (は、も、が)","Grammar Rule"
"Partikel Objek","Aturan penggunaan penanda objek dan arah (を、に、へ、で)","Grammar Rule"
"Partikel Penghubung","Aturan untuk menghubungkan beberapa kata benda (と、や、とか)","Grammar Rule"
"Partikel Kepemilikan","Aturan untuk menunjukkan kepemilikan atau modifikasi kata benda (の)","Grammar Rule"
"Bentuk Sopan","Aturan konjugasi kata kerja bentuk formal/sopan (masu-kei)","Grammar Rule"
"Eksistensi","Aturan untuk menyatakan keberadaan benda mati (ある) atau makhluk hidup (いる)","Grammar Rule"
"Permintaan","Aturan untuk meminta seseorang melakukan atau tidak melakukan sesuatu","Grammar Rule"
"Ajakan","Aturan untuk mengajak atau menawarkan sesuatu kepada lawan bicara","Grammar Rule"
"Pemberian Izin","Aturan untuk memberikan izin atau menyatakan ketidakharusan","Grammar Rule"
"Larangan","Aturan untuk melarang suatu tindakan keras","Grammar Rule"
"Alasan","Aturan untuk menyatakan sebab atau alasan dari suatu keadaan","Grammar Rule"
"Aspek dan Keadaan","Aturan untuk menyatakan aksi yang sedang berlangsung atau arah perubahan","Grammar Rule"
"Perbandingan","Aturan untuk membandingkan dua hal (lebih dari...)","Grammar Rule"
"Saran","Aturan untuk memberikan saran (sebaiknya...)","Grammar Rule"
"Superlatif","Aturan untuk menyatakan hal yang paling/terbaik di antara suatu kelompok","Grammar Rule"
"Niat dan Rencana","Aturan untuk menyatakan niat atau rencana di masa depan","Grammar Rule"
"Perubahan Keadaan","Aturan mengubah kata sifat menjadi kata keterangan untuk menunjukkan perubahan","Grammar Rule"
"Ungkapan Keinginan","Aturan untuk menyatakan keinginan melakukan sesuatu (ingin/tidak ingin)","Grammar Rule"
"Aktivitas Paralel","Aturan untuk menyebutkan beberapa aktivitas representatif yang tidak berurutan","Grammar Rule"
"Pengalaman","Aturan untuk menyatakan pernah atau tidak pernah melakukan sesuatu di masa lampau","Grammar Rule"
"Dugaan dan Kemungkinan","Aturan untuk menyatakan tebakan atau persentase kemungkinan","Grammar Rule"
"Urutan Waktu","Aturan untuk menyatakan tindakan sebelum atau sesudah kejadian lain","Grammar Rule"
"Aturan Bunyi Karakter","Aturan umum pengecualian atau perubahan bunyi karakter Kana tertentu","Phonetic Rule"
"ん dibaca m (sebelum b/p)","Karakter ん dibaca m jika huruf sebelumnya b atau p [cite: 4]","Phonetic Rule"
"ん dibaca ng (sebelum g/k)","Karakter ん dibaca ng jika huruf sebelumnya g atau k [cite: 5]","Phonetic Rule"
