topic_id,name,category
"Dasar Kalimat","Dasar Kalimat","Grammar Topic"
"Partikel","Partikel","Grammar Topic"
"Konjugasi Kata Kerja","Konjugasi Kata Kerja","Grammar Topic"
"Keberadaan (Eksistensi)","Keberadaan (Eksistensi)","Grammar Topic"
"Permintaan dan Perintah","Permintaan dan Perintah","Grammar Topic"
"Ajakan dan Tawaran","Ajakan dan Tawaran","Grammar Topic"
"Izin dan Kewajiban","Izin dan Kewajiban","Grammar Topic"
"Sebab dan Akibat","Sebab dan Akibat","Grammar Topic"
"Aspek Waktu","Aspek Waktu","Grammar Topic"
"Perbandingan","Perbandingan","Grammar Topic"
"Saran","Saran","Grammar Topic"
"Niat dan Rencana","Niat dan Rencana","Grammar Topic"
"Modifikasi Kata Sifat","Modifikasi Kata Sifat","Grammar Topic"
"Ungkapan Keinginan","Ungkapan Keinginan","Grammar Topic"
"Aktivitas Paralel","Aktivitas Paralel","Grammar Topic"
"Pengalaman","Pengalaman","Grammar Topic"
"Dugaan dan Kemungkinan","Dugaan dan Kemungkinan","Grammar Topic"
"Urutan Waktu","Urutan Waktu","Grammar Topic"
"Waktu","Waktu","Vocabulary Topic"
"Makanan dan Minuman","Makanan dan Minuman","Vocabulary Topic"
"Keluarga dan Orang","Keluarga dan Orang","Vocabulary Topic"
"Tempat dan Bangunan","Tempat dan Bangunan","Vocabulary Topic"
"Alam dan Cuaca","Alam dan Cuaca","Vocabulary Topic"
"Tubuh Manusia","Tubuh Manusia","Vocabulary Topic"
"Dasar Kalimat","Dasar Kalimat","Grammar Topic"
"Partikel","Partikel","Grammar Topic"
"Konjugasi Kata Kerja","Konjugasi Kata Kerja","Grammar Topic"
"Keberadaan (Eksistensi)","Keberadaan (Eksistensi)","Grammar Topic"
"Permintaan dan Perintah","Permintaan dan Perintah","Grammar Topic"
"Ajakan dan Tawaran","Ajakan dan Tawaran","Grammar Topic"
"Izin dan Kewajiban","Izin dan Kewajiban","Grammar Topic"
"Sebab dan Akibat","Sebab dan Akibat","Grammar Topic"
"Aspek Waktu","Aspek Waktu","Grammar Topic"
"Perbandingan","Perbandingan","Grammar Topic"
"Saran","Saran","Grammar Topic"
"Niat dan Rencana","Niat dan Rencana","Grammar Topic"
"Modifikasi Kata Sifat","Modifikasi Kata Sifat","Grammar Topic"
"Ungkapan Keinginan","Ungkapan Keinginan","Grammar Topic"
"Aktivitas Paralel","Aktivitas Paralel","Grammar Topic"
"Pengalaman","Pengalaman","Grammar Topic"
"Dugaan dan Kemungkinan","Dugaan dan Kemungkinan","Grammar Topic"
"Urutan Waktu","Urutan Waktu","Grammar Topic"
"Waktu","Waktu","Vocabulary Topic"
"Makanan dan Minuman","Makanan dan Minuman","Vocabulary Topic"
"Keluarga dan Orang","Keluarga dan Orang","Vocabulary Topic"
"Tempat dan Bangunan","Tempat dan Bangunan","Vocabulary Topic"
"Alam dan Cuaca","Alam dan Cuaca","Vocabulary Topic"
"Tubuh Manusia","Tubuh Manusia","Vocabulary Topic"
